Sample in Buffer,Sample in Window,TRIGGER,M_ADC_DATA[11:0]
351,351,0,1835
352,352,0,1902
353,353,0,2426
354,354,0,1793
355,355,0,1910
356,356,0,2430
357,357,0,1775
358,358,0,1943
359,359,0,2428
360,360,0,1743
361,361,0,2009
362,362,0,2409
363,363,0,1734
364,364,0,2001
365,365,0,2405
366,366,0,1705
367,367,0,2040
368,368,0,2386
369,369,0,1668
370,370,0,2098
371,371,0,2371
372,372,0,1667
373,373,0,2139
374,374,0,2354
375,375,0,1662
376,376,0,2182
377,377,0,2294
378,378,0,1637
379,379,0,2189
380,380,0,2310
381,381,0,1631
382,382,0,2227
383,383,0,2294
384,384,0,1627
385,385,0,2315
386,386,0,2224
387,387,0,1629
388,388,0,2325
389,389,0,2179
390,390,0,1634
391,391,0,2344
392,392,0,2127
393,393,0,1657
394,394,0,2398
395,395,0,2086
396,396,0,1671
397,397,0,2431
398,398,0,2030
399,399,0,1687
400,400,0,2456
401,401,0,1927
402,402,0,1726
403,403,0,2470
404,404,0,1928
405,405,0,1758
406,406,0,2479
407,407,0,1896
408,408,0,1790
409,409,0,2491
410,410,0,1843
411,411,0,1798
412,412,0,2489
413,413,0,1827
414,414,0,1809
415,415,0,2493
416,416,0,1798
417,417,0,1886
418,418,0,2489
419,419,0,1779
420,420,0,1911
421,421,0,2482
422,422,0,1735
423,423,0,1927
424,424,0,2475
425,425,0,1675
426,426,0,2006
427,427,0,2463
428,428,0,1679
429,429,0,2029
430,430,0,2460
431,431,0,1666
432,432,0,2053
433,433,0,2419
434,434,0,1639
435,435,0,2070
436,436,0,2427
437,437,0,1623
438,438,0,2103
439,439,0,2410
440,440,0,1622
441,441,0,2166
442,442,0,2375
443,443,0,1617
444,444,0,2159
445,445,0,2375
446,446,0,1609
447,447,0,2175
448,448,0,2326
449,449,0,1599
450,450,0,2244
451,451,0,2312
452,452,0,1594
453,453,0,2263
454,454,0,2281
455,455,0,1598
456,456,0,2309
457,457,0,2199
458,458,0,1608
459,459,0,2342
460,460,0,2187
461,461,0,1615
462,462,0,2367
463,463,0,2143
464,464,0,1635
465,465,0,2419
466,466,0,2098
467,467,0,1634
468,468,0,2405
469,469,0,2078
470,470,0,1639
471,471,0,2415
472,472,0,2058
473,473,0,1679
474,474,0,2445
475,475,0,2046
476,476,0,1675
477,477,0,2450
478,478,0,2014
479,479,0,1695
480,480,0,2462
481,481,0,1918
482,482,0,1734
483,483,0,2465
484,484,0,1966
485,485,0,1751
486,486,0,2473
487,487,0,1912
488,488,0,1782
489,489,0,2483
490,490,0,1851
491,491,0,1808
492,492,0,2481
493,493,0,1839
494,494,0,1813
495,495,0,2481
496,496,0,1807
497,497,0,1898
498,498,0,2478
499,499,0,1786
500,500,0,1886
501,501,0,2470
502,502,0,1779
503,503,0,1906
504,504,0,2463
505,505,0,1707
506,506,0,1975
507,507,0,2447
508,508,0,1689
509,509,0,2042
510,510,0,2431
511,511,0,1681
512,512,0,2070
513,513,0,2372
514,514,0,1651
515,515,0,2118
516,516,0,2366
517,517,0,1643
518,518,0,2131
519,519,0,2363
520,520,0,1636
521,521,0,2207
522,522,0,2323
523,523,0,1634
524,524,0,2206
525,525,0,2298
526,526,0,1631
527,527,0,2219
528,528,0,2279
529,529,0,1633
530,530,0,2294
531,531,0,2239
532,532,0,1636
533,533,0,2301
534,534,0,2211
535,535,0,1638
536,536,0,2319
537,537,0,2130
538,538,0,1654
539,539,0,2334
540,540,0,2138
541,541,0,1666
542,542,0,2358
543,543,0,2116
544,544,0,1677
545,545,0,2399
546,546,0,2068
547,547,0,1684
548,548,0,2390
549,549,0,2042
550,550,0,1691
551,551,0,2399
552,552,0,2014
553,553,0,1747
554,554,0,2427
555,555,0,1994
556,556,0,1736
557,557,0,2426
558,558,0,1986
559,559,0,1741
560,560,0,2431
561,561,0,1921
562,562,0,1793
563,563,0,2436
564,564,0,1907
565,565,0,1817
566,566,0,2435
567,567,0,1879
568,568,0,1849
569,569,0,2439
570,570,0,1832
571,571,0,1882
572,572,0,2438
573,573,0,1794
574,574,0,1906
575,575,0,2438
576,576,0,1766
577,577,0,1983
578,578,0,2421
579,579,0,1756
580,580,0,1983
581,581,0,2404
582,582,0,1735
583,583,0,1998
584,584,0,2395
585,585,0,1696
586,586,0,2078
587,587,0,2369
588,588,0,1698
589,589,0,2098
590,590,0,2354
591,591,0,1687
592,592,0,2127
593,593,0,2309
594,594,0,1673
595,595,0,2171
596,596,0,2291
597,597,0,1668
598,598,0,2184
599,599,0,2286
600,600,0,1667
601,601,0,2247
602,602,0,2243
603,603,0,1671
604,604,0,2229
605,605,0,2223
606,606,0,1671
607,607,0,2264
608,608,0,2182
609,609,0,1679
610,610,0,2300
611,611,0,2180
612,612,0,1684
613,613,0,2318
614,614,0,2143
615,615,0,1687
616,616,0,2340
617,617,0,2087
618,618,0,1715
619,619,0,2349
620,620,0,2064
621,621,0,1736
622,622,0,2372
623,623,0,2041
624,624,0,1751
625,625,0,2397
626,626,0,1987
627,627,0,1763
628,628,0,2391
629,629,0,1974
630,630,0,1760
631,631,0,2394
632,632,0,1955
633,633,0,1823
634,634,0,2403
635,635,0,1940
636,636,0,1808
637,637,0,2405
638,638,0,1916
639,639,0,1826
640,640,0,2409
641,641,0,1858
642,642,0,1861
643,643,0,2406
644,644,0,1877
645,645,0,1876
646,646,0,2409
647,647,0,1857
648,648,0,1882
649,649,0,2398
650,650,0,1815
651,651,0,1912
652,652,0,2401
653,653,0,1815
654,654,0,1940
655,655,0,2397
656,656,0,1800
657,657,0,1977
658,658,0,2387
659,659,0,1796
660,660,0,1970
661,661,0,2382
662,662,0,1790
663,663,0,1968
664,664,0,2378
665,665,0,1752
666,666,0,1999
667,667,0,2378
668,668,0,1766
669,669,0,2026
670,670,0,2375
671,671,0,1763
672,672,0,2034
673,673,0,2341
674,674,0,1744
675,675,0,2016
676,676,0,2347
677,677,0,1740
678,678,0,2052
679,679,0,2345
680,680,0,1729
681,681,0,2108
682,682,0,2304
683,683,0,1723
684,684,0,2108
685,685,0,2294
686,686,0,1717
687,687,0,2132
688,688,0,2265
689,689,0,1711
690,690,0,2165
691,691,0,2276
692,692,0,1712
693,693,0,2186
694,694,0,2244
695,695,0,1711
696,696,0,2225
697,697,0,2178
698,698,0,1712
699,699,0,2246
700,700,0,2183
701,701,0,1715
702,702,0,2253
703,703,0,2173
704,704,0,1723
705,705,0,2301
706,706,0,2121
707,707,0,1730
708,708,0,2297
709,709,0,2097
710,710,0,1737
711,711,0,2310
712,712,0,2066
713,713,0,1771
714,714,0,2335
715,715,0,2047
716,716,0,1760
717,717,0,2336
718,718,0,2067
719,719,0,1759
720,720,0,2334
721,721,0,2008
722,722,0,1780
723,723,0,2337
724,724,0,2027
725,725,0,1794
726,726,0,2344
727,727,0,2005
728,728,0,1801
729,729,0,2364
730,730,0,1987
731,731,0,1797
732,732,0,2356
733,733,0,1959
734,734,0,1806
735,735,0,2355
736,736,0,1954
737,737,0,1848
738,738,0,2369
739,739,0,1939
740,740,0,1844
741,741,0,2369
742,742,0,1917
743,743,0,1871
744,744,0,2372
745,745,0,1861
746,746,0,1899
747,747,0,2371
748,748,0,1863
749,749,0,1934
750,750,0,2369
751,751,0,1846
752,752,0,1958
753,753,0,2354
754,754,0,1814
755,755,0,1957
756,756,0,2365
757,757,0,1832
758,758,0,1948
759,759,0,2368
760,760,0,1815
761,761,0,2002
762,762,0,2355
763,763,0,1807
764,764,0,1994
765,765,0,2350
766,766,0,1796
767,767,0,2001
768,768,0,2340
769,769,0,1757
770,770,0,2053
771,771,0,2332
772,772,0,1759
773,773,0,2064
774,774,0,2322
775,775,0,1756
776,776,0,2082
777,777,0,2295
778,778,0,1741
779,779,0,2069
780,780,0,2310
781,781,0,1739
782,782,0,2094
783,783,0,2306
784,784,0,1732
785,785,0,2155
786,786,0,2271
787,787,0,1727
788,788,0,2163
789,789,0,2241
790,790,0,1720
791,791,0,2166
792,792,0,2246
793,793,0,1713
794,794,0,2193
795,795,0,2248
796,796,0,1712
797,797,0,2213
798,798,0,2244
799,799,0,1710
800,800,0,2213
801,801,0,2203
802,802,0,1709
803,803,0,2224
804,804,0,2212
805,805,0,1707
806,806,0,2221
807,807,0,2213
808,808,0,1704
809,809,0,2270
810,810,0,2181
811,811,0,1704
812,812,0,2254
813,813,0,2149
814,814,0,1712
815,815,0,2300
816,816,0,2106
817,817,0,1735
818,818,0,2332
819,819,0,2092
820,820,0,1731
821,821,0,2345
822,822,0,2071
823,823,0,1726
824,824,0,2360
825,825,0,2002
826,826,0,1750
827,827,0,2367
828,828,0,2016
829,829,0,1772
830,830,0,2383
831,831,0,1998
832,832,0,1782
833,833,0,2403
834,834,0,1954
835,835,0,1794
836,836,0,2399
837,837,0,1941
838,838,0,1805
839,839,0,2401
840,840,0,1905
841,841,0,1862
842,842,0,2416
843,843,0,1899
844,844,0,1849
845,845,0,2417
846,846,0,1894
847,847,0,1821
848,848,0,2415
849,849,0,1849
850,850,0,1864
851,851,0,2419
852,852,0,1848
853,853,0,1881
854,854,0,2423
855,855,0,1848
856,856,0,1894
857,857,0,2421
858,858,0,1806
859,859,0,1915
860,860,0,2421
861,861,0,1779
862,862,0,1933
863,863,0,2422
864,864,0,1767
865,865,0,1986
866,866,0,2419
867,867,0,1763
868,868,0,1986
869,869,0,2406
870,870,0,1743
871,871,0,1998
872,872,0,2399
873,873,0,1703
874,874,0,2052
875,875,0,2391
876,876,0,1715
877,877,0,2066
878,878,0,2387
879,879,0,1695
880,880,0,2106
